ID чека,Тип,Дата/Час,Фіскальний номер,Тип оплати,Сума (грн),Фіскальний номер ПРРО,Локальный номер ПРРО,Штрихкод,Шапка,Службова інформація,Знижка на чек
0b042056-c05f-4bfe-a88e-7b28001006e4,SELL,2022-12-15 14:42:01,MgRBWqmPsHY,Картка,220,4000330381,1,,,,
0bc3629b-268d-41f1-bc0d-adddb40521ed,SELL,2022-12-10 21:44:34,8YEfO8LHHAo,Готівка,1475,4000330381,1,,,,
0bfacb21-51ec-4cfd-a5cb-5adfaf3ceb8a,SELL,2022-12-30 20:22:28,xEypxtcQDEY,Картка,160,4000330381,1,,,,
0bfc4d5b-5297-44fe-9c75-58a59490bd3e,SELL,2022-12-10 20:39:02,recNH78sIzQ,Готівка,1630,4000330381,1,,,,
0cad51b9-777a-4a0f-b4e2-4af894536c88,SELL,2022-12-18 23:14:38,6DSUzydAdCI,Готівка,180,4000330381,1,,,,
0cc328ef-5923-4ada-9d10-05a7eb26ae9b,SELL,2022-12-12 22:06:12,WWuBEXcLWcw,Картка,170,4000330381,1,,,,
0cf69d4f-ea49-4b79-98ef-76f34f38a05a,SELL,2022-12-03 3:28:22,JXOd9npder4,Готівка,165,4000330381,1,,,,
0de11a47-17d7-4e24-a41a-ecb049832d31,SELL,2022-12-04 23:33:13,S3MyDDM5JJk,Готівка,540,4000330381,1,,,,
0e0d523f-c659-4bc3-915e-7aa0fa186bc6,SELL,2022-12-16 21:27:01,xODT3BVef5g,Готівка,250,4000330381,1,,,,
0e4e5f9f-22b3-4bce-b1b1-8a1821a1f17d,SELL,2022-12-18 21:02:34,5xIMK8JynPE,Готівка,170,4000330381,1,,,,
0e5196bc-2cb6-4f8f-8d7b-d826d3004562,SELL,2022-12-23 22:08:25,X_GeviCBYfw,Готівка,280,4000330381,1,,,,
0ea1d3ae-41bd-467b-90c7-50f266350b16,SELL,2022-12-04 18:29:28,6KetZZZ3EJ8,Готівка,485,4000330381,1,,,,
0ea7bceb-fde9-42e0-9d4c-1545fe1c0e31,SELL,2022-12-23 23:47:58,Fdw4h8sE-8g,Готівка,125,4000330381,1,,,,
0f0be991-9816-468f-8f81-d3b9259cb21c,SELL,2022-12-16 20:14:54,wvMNumCju5I,Готівка,75,4000330381,1,,,,
0f89db1d-db5d-4df8-a178-085dc64f3d93,SELL,2022-12-10 20:34:15,g9NA9q5aunI,Готівка,165,4000330381,1,,,,
0f91e0ed-b44c-454d-af40-b71456fb74a5,SELL,2022-12-18 22:48:09,npzjhZe5uL0,Готівка,700,4000330381,1,,,,
0f95e52d-eb89-4255-b795-09749d771490,SELL,2022-12-03 3:17:20,YIfRQ82juCk,Готівка,870,4000330381,1,,,,
0f9c2b5c-b894-4812-b08f-eb5247b7d4dd,SELL,2022-12-23 23:40:30,YsvEfq859Ss,Готівка,230,4000330381,1,,,,
0fdf1c9a-c59b-4ff9-a750-e48fa9f4cc2c,SELL,2022-12-12 21:54:33,Tm4DVmG0opM,Картка,325,4000330381,1,,,,
100248be-4856-4ee9-aad8-fea3402af209,SELL,2022-12-16 20:55:29,DoNmoMyy2S4,Готівка,260,4000330381,1,,,,
10064df6-01cd-408d-bff4-de9a74873c49,SELL,2022-12-10 21:38:47,lBAxpDkWtiY,Готівка,230,4000330381,1,,,,
10628a6a-a9f6-43d9-b49d-97d3b974ce8a,SELL,2022-12-16 21:30:52,G8qLc_o-TtI,Готівка,170,4000330381,1,,,,
10bbd003-8128-4fa3-9275-af63045cb656,SELL,2022-12-23 22:23:41,JdJOyLEx5JI,Готівка,240,4000330381,1,,,,
110be73d-4aeb-4ff5-a8b8-39f9dd1f0f8c,SELL,2022-12-10 21:55:35,ldOaJJ2M3qA,Готівка,75,4000330381,1,,,,
112900d1-0102-4ff8-8715-002b8f5cb17e,SELL,2022-12-04 18:23:09,hLyWJ55HIzw,Готівка,130,4000330381,1,,,,
115031fd-c712-4789-8772-79028ae3233f,SELL,2022-12-12 22:05:48,sknZxLLIyig,Картка,1690,4000330381,1,,,,
11d6cc6b-53fd-49e8-a392-c32e4d6aa389,SELL,2022-12-18 21:38:46,sCC8_S2BwlQ,Готівка,75,4000330381,1,,,,
11ed0671-57e4-400a-b5f9-e5e9cbbd062e,SELL,2022-12-23 22:29:15,Rtk9Xb7rbik,Готівка,150,4000330381,1,,,,
1213ec67-5622-4ab4-a77e-f8b8e8249a7e,SELL,2022-12-23 21:54:41,YpNGRyEPuMY,Готівка,295,4000330381,1,,,,
12843c78-7efe-4160-8a14-c91d47ea3d79,SELL,2022-12-10 21:38:03,ej06xbuOawk,Готівка,450,4000330381,1,,,,
12a02911-0a4f-484b-9681-d42cb96adc2e,SELL,2022-12-23 21:57:50,0EKVEWMuHrE,Готівка,75,4000330381,1,,,,
13e773f4-d177-4ff8-b2a6-af08c252b7b7,SELL,2022-12-10 23:27:19,OMIJZ96oPjI,Готівка,485,4000330381,1,,,,
13f42016-7f9b-4053-b2e7-4658c851f85b,SELL,2022-12-18 20:59:51,3rxcybX9QYY,Готівка,185,4000330381,1,,,,
1433833c-0a4f-4269-a10f-d18c1b054e05,SELL,2022-12-04 18:28:02,-GkWmvz7Umc,Готівка,190,4000330381,1,,,,
153554ff-86e8-4ba7-a750-9e9317db5eb9,SELL,2022-12-16 21:15:20,EseMz4IAwME,Готівка,75,4000330381,1,,,,
1535c770-fe8d-4184-8266-7bb1d82afe7d,SELL,2022-12-09 14:42:50,sM3Wm2KdeoA,Картка,390,4000330381,1,,,,
156b3eb1-f03e-426f-8d7a-69883470663f,SELL,2022-12-18 20:23:32,BLBkO0jbfn8,Готівка,295,4000330381,1,,,,
15a791b2-c8c9-4373-a185-61e83177efc3,SELL,2022-12-04 18:47:38,xSoYl19ffYg,Готівка,75,4000330381,1,,,,
15d076cd-fb7e-4d90-b459-04f7cbb61411,SELL,2022-12-10 22:29:48,zncUYNHm1Ek,Готівка,770,4000330381,1,,,,
16272931-b5f6-4420-b5d3-d5e636ca99b0,SELL,2022-12-10 20:26:13,HgpwEQYLZ0w,Готівка,425,4000330381,1,,,,
163ab28a-af2f-49a0-88ac-09b47561d068,SELL,2022-12-18 23:03:26,uKZJIhkmHks,Готівка,220,4000330381,1,,,,
166fdebf-d224-409d-827a-73f7f8d7a198,SELL,2022-12-18 20:30:26,tPGbGQlOsME,Готівка,280,4000330381,1,,,,
16b224a7-65ac-4d87-b74c-76018c20935e,SELL,2022-12-10 23:05:57,9mI5KSuxXSc,Готівка,540,4000330381,1,,,,
16ccc6cb-dfc1-4bb8-a796-32e21c4bb14b,SELL,2022-12-16 21:21:08,IvT8E2wuiZA,Готівка,495,4000330381,1,,,,
16eea6de-f0f3-455f-9467-7f8d4215aaa4,SELL,2022-12-16 20:42:30,IKgqcMlsdYY,Готівка,110,4000330381,1,,,,
177a1407-3256-47a1-83f2-cabb4c76ddab,SELL,2022-12-10 22:42:53,kckaq8StpdM,Готівка,75,4000330381,1,,,,
179e9253-7ff2-4a60-8d0c-da15a202f9c6,SELL,2022-12-23 22:21:19,d_cT08XuNDg,Готівка,270,4000330381,1,,,,
17a74fdc-9703-48d6-a0fe-dc5ab98a37b9,SELL,2022-12-03 3:02:20,epuyWviov-U,Готівка,140,4000330381,1,,,,
17e47c09-7fe3-4a72-9ead-05c246322c7d,SELL,2022-12-10 21:12:06,R4m9IhEVNUQ,Готівка,280,4000330381,1,,,,
18178f5f-bd47-4174-a74a-a93fe5318c8c,SELL,2022-12-02 21:08:02,c0QogQHFXVI,Картка,300,4000330381,1,,,,
18a18e2f-e092-4599-b4fe-f59121823871,SELL,2022-12-18 23:17:51,0nyNV8noWrE,Готівка,450,4000330381,1,,,,
193c3417-88c2-48fb-b6c8-b955ff2628b2,SELL,2022-12-18 20:58:18,UEyK2zsV4qI,Готівка,110,4000330381,1,,,,
195afbdd-8c07-4300-9feb-43509467f651,SELL,2022-12-10 23:27:47,bpnZpviAQDc,Готівка,75,4000330381,1,,,,
1aca8fbc-58b7-4f44-8e30-b18c340c10d4,SELL,2022-12-23 0:39:00,pro02AKCZMA,Картка,900,4000330381,1,,,,
1b2d28f2-701e-4e84-8172-418d83f44250,SELL,2022-12-10 20:44:45,KwuNHW4LFGo,Готівка,125,4000330381,1,,,,
1c419cf2-ce4c-4b96-9907-09b4b954ee41,SELL,2022-12-10 23:40:31,AsXJgm_tjTQ,Готівка,145,4000330381,1,,,,
1c460b76-6222-4121-a194-4c0a1f2333f5,SELL,2022-12-03 2:03:10,HJLib7SV7FY,Готівка,890,4000330381,1,,,,
1c5ee991-f8bb-4a22-b7e1-739e5727ec14,SELL,2022-12-16 20:44:07,IpeADi4rf6U,Готівка,180,4000330381,1,,,,
1cc6acc2-87a1-49c6-9a3d-24e997435da4,SELL,2022-12-19 22:41:20,1wSBZaf8VwE,Картка,160,4000330381,1,,,,
1d0664cc-8526-4fc4-8b9b-886ecb3eab59,SELL,2022-12-03 2:20:57,RUqABNIjvRM,Готівка,5750,4000330381,1,,,,
1dedfdac-c95a-470f-a676-9e4c1cee042d,SELL,2022-12-04 17:29:24,JBeAjwDcikM,Готівка,165,4000330381,1,,,,
1e324140-117a-47f3-9fe3-e62b2d871ecc,SELL,2022-12-16 20:55:58,hoih-MkN2Bg,Готівка,125,4000330381,1,,,,
1e3690f1-e779-402e-80e8-3af651a70c1d,SELL,2022-12-18 20:28:41,E1Jf5bj-SkA,Готівка,75,4000330381,1,,,,
1e945eb9-72d3-4019-812f-f57ae9b964a6,SELL,2022-12-16 21:19:51,gH0i-rfdDMA,Готівка,885,4000330381,1,,,,
1f018ce1-eb7b-4182-8326-fd41633ee45b,SELL,2022-12-16 20:53:25,zHT6xHNEamE,Готівка,270,4000330381,1,,,,
1f711f0f-c8f3-4331-b30f-b23f7331ed62,SELL,2022-12-23 22:28:43,Ilbf2sm-8DE,Готівка,2400,4000330381,1,,,,
1f8f012e-74cb-4b45-a57e-1270f1839ab3,SELL,2022-12-18 22:12:34,xEZf1_DH4Is,Готівка,510,4000330381,1,,,,
1fc0b606-223c-461e-a2e5-e263de885563,SELL,2022-12-06 17:27:46,pHkNZkqgBs8,Картка,200,4000330381,1,,,,
201f9a21-61cf-442c-bb6f-ca153cbf703b,SELL,2022-12-04 18:48:13,BHhv291DAn0,Готівка,205,4000330381,1,,,,
2084d48f-5a42-4b37-b5c7-f6fd0b17c9db,SELL,2022-12-10 20:47:20,-akJ1YW9kao,Готівка,495,4000330381,1,,,,
20b337b1-6a3d-4c37-ae1d-88cbaa7bd047,SELL,2022-12-03 3:12:31,vmPl8GStb88,Готівка,450,4000330381,1,,,,
20bfce98-766b-419b-9c6e-e5f7b2bc7d55,SELL,2022-12-10 21:34:48,aOpp_dA4XlI,Готівка,325,4000330381,1,,,,
20c779bb-e084-484c-bd7a-c842ef512a26,SELL,2022-12-03 3:21:21,I6V9P1VBOy0,Готівка,395,4000330381,1,,,,
2186943f-babf-400b-bd45-f1d7e1ce1649,SELL,2022-12-10 21:09:40,xcKge2vVWcc,Готівка,280,4000330381,1,,,,
21938fd4-5ecb-4c6a-a266-2c9fdd7338b6,SELL,2022-12-23 23:03:16,bKkaTg3hP_c,Готівка,165,4000330381,1,,,,
21dec404-0ee1-4820-b41f-a73ef48471b2,SELL,2022-12-10 20:08:11,j_a-ux2nnRE,Готівка,280,4000330381,1,,,,
22032a5c-717f-432c-8f76-d7950c89d783,SELL,2022-12-21 21:09:22,7BLBNmNcWbk,Картка,125,4000330381,1,,,,
223428e1-0b4c-4ad9-891a-d8469434bd7d,SELL,2022-12-18 21:39:11,Z5iEA2RxCK8,Готівка,300,4000330381,1,,,,
2248f025-29a5-4807-bb9e-eecb643ef052,SELL,2022-12-10 21:33:43,rklc5SiDdSg,Готівка,1255,4000330381,1,,,,
225b6278-be75-470a-b464-a894c2e3c55e,SELL,2022-12-16 20:40:41,9Yx_eGU2VmU,Готівка,145,4000330381,1,,,,
2278867f-923e-42d7-9f51-d718f019d80f,SELL,2022-12-03 2:08:58,idegmcF25UQ,Готівка,90,4000330381,1,,,,
22b4c080-534f-4da5-ab09-6527aeeff70b,SELL,2022-12-10 20:53:21,wKGveXSFGQI,Готівка,465,4000330381,1,,,,
230db697-ea2b-46d7-a1d2-cd1893d3563c,SELL,2022-12-03 2:26:29,C3WbYdj7cTY,Готівка,340,4000330381,1,,,,
239a07bb-9408-49ca-9be5-8a9c69bb7b89,SELL,2022-12-18 20:37:25,HYAhhtk470Y,Готівка,160,4000330381,1,,,,
23ddb707-0a75-4a76-b80f-49264ba7cfa9,SELL,2022-12-23 23:12:24,jD-n2UktmbY,Готівка,2400,4000330381,1,,,,
24550fa6-8194-4339-820c-2cc3b9c3336d,SELL,2022-12-10 22:45:27,x8fThFNkN9I,Готівка,240,4000330381,1,,,,
24d0ae06-e549-4ad2-bfd4-f7d640a8684f,SELL,2022-12-23 23:28:35,0qXFOc4P91g,Готівка,485,4000330381,1,,,,
24ffecd2-d006-4e77-84c6-69afc68a2a03,SELL,2022-12-18 20:30:59,NcQYpW96JBw,Готівка,150,4000330381,1,,,,
252dde57-7163-489d-bfe1-6558d47a877a,SELL,2022-12-10 21:50:14,ZDoX2x0YY8I,Готівка,195,4000330381,1,,,,
2546aca0-7f78-4306-9a80-38b579d4c58a,SELL,2022-12-03 2:22:51,2fbLhn8EW8Q,Готівка,560,4000330381,1,,,,
258029c2-d00c-4b07-ac1e-a7406b1efc68,SELL,2022-12-18 23:07:21,9qs2e39lO04,Готівка,270,4000330381,1,,,,
258f41a0-aec3-4fca-921d-d8674ff1312f,SELL,2022-12-18 22:45:58,c4BPxF5sW7Y,Готівка,300,4000330381,1,,,,
259b1764-c384-428b-9b93-1c851388fac0,SELL,2022-12-05 18:31:10,H0tZEynuCwA,Картка,240,4000330381,1,,,,
25ad96b5-c209-406a-8ae6-f5cb16b94d85,SELL,2022-12-18 21:52:40,cD2UIXwIvFA,Готівка,650,4000330381,1,,,,
26563e84-9951-438f-b1e2-eb4d5ce8f64a,SELL,2022-12-16 15:59:09,hw7U43zkU5w,Картка,220,4000330381,1,,,,
265c7077-aac6-496a-9d90-765fc33f8b62,SELL,2022-12-27 20:11:36,VdYIsPijAAY,Картка,100,4000330381,1,,,,
266da752-3b3a-4848-8c7d-ffcdc4768d18,SELL,2022-12-23 23:24:27,HrtXoCkyL-M,Готівка,935,4000330381,1,,,,
26710bdd-21b1-4802-a4c7-7966e47c2fec,SELL,2022-12-16 20:06:24,s9KauHNG94Y,Готівка,170,4000330381,1,,,,
274f2755-c862-41e1-9fd4-21359f00cb4a,SELL,2022-12-10 21:59:59,r5pZ01QhC6s,Готівка,270,4000330381,1,,,,
27cf4570-70b4-4564-9a14-91a67d7bc571,SELL,2022-12-18 22:17:55,nk8IKZ7Y9ac,Готівка,280,4000330381,1,,,,
28444321-ccef-4bde-9e86-746e4bbf0d10,SELL,2022-12-03 2:44:43,wo0QL-OZitI,Готівка,85,4000330381,1,,,,
288f16df-b619-4eb8-a676-f6151b72146a,SELL,2022-12-23 23:16:26,WT2r7QEe1w4,Готівка,530,4000330381,1,,,,
289c61f0-5da8-4a5e-8a62-462c181d2400,SELL,2022-12-03 2:23:29,dzTA__H1Jf0,Готівка,410,4000330381,1,,,,
28aab97f-7adf-452f-b8da-39db74d0b549,SELL,2022-12-08 20:50:44,bFwiCHGE1qk,Картка,140,4000330381,1,,,,
291e53b5-e993-42d2-a33d-789c13a6caf5,RETURN,2022-12-23 0:43:08,ok2uRlNxXYg,Картка,900,4000330381,1,,,,
293e73f9-e5ba-40bf-bccc-142a5230d2d1,SELL,2022-12-16 20:18:42,RyaMXOxBBM0,Готівка,105,4000330381,1,,,,
294374b7-b6cd-475e-bc5d-61ed18ebe0f4,SELL,2022-12-03 3:08:02,_uH4ETy4ldU,Готівка,50,4000330381,1,,,,
294391ae-7b64-4e53-9037-6ad29a9b14b4,SELL,2022-12-23 23:21:39,pQ5ldUaF4vk,Готівка,450,4000330381,1,,,,
2994e263-acf3-49a3-89de-fed458f289cf,SELL,2022-12-18 22:44:45,iHkV5Zkgtx4,Готівка,3330,4000330381,1,,,,
2a05e3c0-cb38-4c71-8363-816638de0ea4,SELL,2022-12-04 23:35:43,Biy1a0--HZg,Готівка,540,4000330381,1,,,,
2a335aff-01bc-4ae3-827b-1466487d1d97,SELL,2022-12-10 20:30:21,bwkcPOOMv2s,Готівка,485,4000330381,1,,,,
2a6b3e8f-e502-40f4-aa7a-c177ec218f1c,SELL,2022-12-18 23:21:41,g81UTJSFzyc,Готівка,270,4000330381,1,,,,
2a7b8f08-24d5-4c2c-8327-365b30c8ceb4,SELL,2022-12-03 2:16:05,qXJ4NfFSpgc,Готівка,105,4000330381,1,,,,
2b168523-f96a-426c-873c-df03aca1b4eb,SELL,2022-12-18 22:34:24,qqZNdPhYtS4,Готівка,390,4000330381,1,,,,
2b3971d2-dacc-4d86-86a8-bc56104cce27,SELL,2022-12-16 20:43:10,FQqHBz_hMw4,Готівка,140,4000330381,1,,,,
